# RTVLAS Proof Log
frame=45 timestamp_ms=9000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=46 timestamp_ms=9200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=47 timestamp_ms=9400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=48 timestamp_ms=9600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=49 timestamp_ms=9800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=50 timestamp_ms=10000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=51 timestamp_ms=10200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=52 timestamp_ms=10400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=53 timestamp_ms=10600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=54 timestamp_ms=10800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=55 timestamp_ms=11000 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=56 timestamp_ms=11200 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=57 timestamp_ms=11400 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=58 timestamp_ms=11600 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
frame=59 timestamp_ms=11800 verdict=Reject trust=0.000 causes=[Fireline Standoff Margin=Reject, Terrain and Smoke Clearance Margin=Reject, Divert / Dip Site Reachability=Reject, Mission App Recovery Readiness=Reject, Air-Ground Coordination Link=Reject]
